implementacao,linguagem,camada,operacao,chave_bits,iteracoes,media_s,desvio_s,cv_pct,pico_rss_kb,cpu_s,fonte
Cryptography,Python,framework,Geracao,2048,5,0.059099808,0.016151122,27.3,,,results.json
Cryptography,Python,framework,Geracao,2048,10,0.056352493,0.010758797,19.1,,,results.json
Cryptography,Python,framework,Geracao,2048,50,0.066823401,0.009281443,13.9,,,results.json
Cryptography,Python,framework,Geracao,2048,100,0.061062570,0.004366750,7.2,,,results.json
Cryptography,Python,framework,Geracao,4096,5,0.565048425,0.169355156,30.0,,,results.json
Cryptography,Python,framework,Geracao,4096,10,0.703906033,0.171143793,24.3,,,results.json
Cryptography,Python,framework,Geracao,4096,50,0.625581690,0.052687701,8.4,,,results.json
Cryptography,Python,framework,Geracao,4096,100,0.586045935,0.022641162,3.9,,,results.json
Cryptography,Python,framework,Cifracao,2048,10,0.000032948,0.000009544,29.0,,,results.json
Cryptography,Python,framework,Cifracao,2048,100,0.000031739,0.000003813,12.0,,,results.json
Cryptography,Python,framework,Cifracao,2048,1000,0.000030339,0.000000621,2.0,,,results.json
Cryptography,Python,framework,Cifracao,2048,10000,0.000031213,0.000001790,5.7,,,results.json
Cryptography,Python,framework,Cifracao,4096,10,0.000098793,0.000030791,31.2,,,results.json
Cryptography,Python,framework,Cifracao,4096,100,0.000084669,0.000005303,6.3,,,results.json
Cryptography,Python,framework,Cifracao,4096,1000,0.000097622,0.000020869,21.4,,,results.json
Cryptography,Python,framework,Cifracao,4096,10000,0.000084194,0.000001553,1.8,,,results.json
Cryptography,Python,framework,Decifracao,2048,10,0.000699796,0.000073579,10.5,,,results.json
Cryptography,Python,framework,Decifracao,2048,100,0.000675615,0.000008827,1.3,,,results.json
Cryptography,Python,framework,Decifracao,2048,1000,0.000675543,0.000005538,0.8,,,results.json
Cryptography,Python,framework,Decifracao,2048,10000,0.000680964,0.000014329,2.1,,,results.json
Cryptography,Python,framework,Decifracao,4096,10,0.004498891,0.000123258,2.7,,,results.json
Cryptography,Python,framework,Decifracao,4096,100,0.004483799,0.000037749,0.8,,,results.json
Cryptography,Python,framework,Decifracao,4096,1000,0.004532128,0.000127356,2.8,,,results.json
Cryptography,Python,framework,Decifracao,4096,10000,0.005260690,0.000699277,13.3,,,results.json
Cryptography,Python,vanilla,Geracao,2048,5,0.052314434,0.021051617,40.2,26204,0.052000,env mrx mrx repo rsa benchmark.txt
Cryptography,Python,vanilla,Geracao,2048,10,0.072811904,0.029056643,39.9,26204,0.073000,env mrx mrx repo rsa benchmark.txt
Cryptography,Python,vanilla,Geracao,2048,50,0.053686815,0.028699286,53.5,26212,0.054000,env mrx mrx repo rsa benchmark.txt
Cryptography,Python,vanilla,Geracao,2048,100,0.055041472,0.040744425,74.0,26216,0.055100,env mrx mrx repo rsa benchmark.txt
Cryptography,Python,vanilla,Geracao,4096,5,0.554409558,0.303225533,54.7,26228,0.554000,env mrx mrx repo rsa benchmark.txt
Cryptography,Python,vanilla,Geracao,4096,10,0.529158334,0.269037511,50.8,26228,0.529000,env mrx mrx repo rsa benchmark.txt
Cryptography,Python,vanilla,Geracao,4096,50,0.507116480,0.309771765,61.1,26236,0.507400,env mrx mrx repo rsa benchmark.txt
Cryptography,Python,vanilla,Geracao,4096,100,0.537887788,0.378267919,70.3,26236,0.538000,env mrx mrx repo rsa benchmark.txt
Cryptography,Python,vanilla,Cifracao,2048,10,0.000318864,0.000859830,269.7,26524,0.000000,env mrx mrx repo rsa benchmark.txt
Cryptography,Python,vanilla,Cifracao,2048,100,0.000038953,0.000001437,3.7,26532,0.000100,env mrx mrx repo rsa benchmark.txt
Cryptography,Python,vanilla,Cifracao,2048,1000,0.000038400,0.000001117,2.9,26564,0.000110,env mrx mrx repo rsa benchmark.txt
Cryptography,Python,vanilla,Cifracao,2048,10000,0.000038711,0.000002963,7.7,26920,0.000112,env mrx mrx repo rsa benchmark.txt
Cryptography,Python,vanilla,Cifracao,4096,10,0.000098090,0.000012240,12.5,26924,0.000000,env mrx mrx repo rsa benchmark.txt
Cryptography,Python,vanilla,Cifracao,4096,100,0.000091917,0.000003572,3.9,26928,0.000200,env mrx mrx repo rsa benchmark.txt
Cryptography,Python,vanilla,Cifracao,4096,1000,0.000090752,0.000002166,2.4,26928,0.000170,env mrx mrx repo rsa benchmark.txt
